birth_year,district,any_shot,shots_1,shots_2,shots_3,birth_count,coverage,age_group
2014,Bình Chánh,186,185,1,0,4243,0.0438369078482206,[0-1)
2014,Bình Chánh,1722,1497,196,28,4243,0.4058449210464294,all
2015,Bình Chánh,1702,1689,13,0,9171,0.18558499618362229,[0-1)
2015,Bình Chánh,4458,3496,858,100,9171,0.48609748119070983,all
2016,Bình Chánh,2392,2379,12,1,10451,0.22887761936656778,[0-1)
2016,Bình Chánh,5727,4342,1220,156,10451,0.5479858386757248,all
2017,Bình Chánh,3244,3215,29,0,11674,0.2778824738735652,[0-1)
2017,Bình Chánh,6705,4869,1609,219,11674,0.5743532636628405,all
2018,Bình Chánh,2229,2219,10,0,9757,0.228451368248437,[0-1)
2018,Bình Chánh,5491,4100,1273,116,9757,0.5627754432714974,all
2019,Bình Chánh,4964,4845,118,1,8859,0.5603341234902359,[0-1)
2019,Bình Chánh,7753,3356,4013,373,8859,0.8751552093915792,all
2020,Bình Chánh,4647,4528,119,0,7949,0.58460183670902,[0-1)
2020,Bình Chánh,6657,1873,4570,206,7949,0.8374638319285445,all
2021,Bình Chánh,3783,3714,69,0,6877,0.5500945179584121,[0-1)
2021,Bình Chánh,4323,2932,1373,18,6877,0.6286171295623092,all
2022,Bình Chánh,3,3,0,0,2652,0.0011312217194570137,[0-1)
2022,Bình Chánh,3,3,0,0,2652,0.0011312217194570137,all
2014,Bình Thạnh,135,133,2,0,4143,0.03258508327299059,[0-1)
2014,Bình Thạnh,1787,1578,187,22,4143,0.4313299541395124,all
2015,Bình Thạnh,1411,1389,22,0,7864,0.17942522889114954,[0-1)
2015,Bình Thạnh,4076,3087,833,146,7864,0.5183112919633774,all
2016,Bình Thạnh,1320,1310,10,0,7141,0.18484806049572888,[0-1)
2016,Bình Thạnh,4007,2856,972,169,7141,0.5611258927321103,all
2017,Bình Thạnh,1664,1648,16,0,7329,0.22704325283121846,[0-1)
2017,Bình Thạnh,4335,2837,1261,225,7329,0.5914858780188293,all
2018,Bình Thạnh,1589,1579,9,1,6619,0.24006647529838343,[0-1)
2018,Bình Thạnh,3495,2583,835,74,6619,0.5280253814775646,all
2019,Bình Thạnh,3321,3244,77,0,6094,0.5449622579586478,[0-1)
2019,Bình Thạnh,5374,2040,3239,95,6094,0.881851000984575,all
2020,Bình Thạnh,3478,3354,124,0,5416,0.6421713441654358,[0-1)
2020,Bình Thạnh,4568,1060,3462,46,5416,0.843426883308715,all
2021,Bình Thạnh,2724,2656,68,0,4655,0.5851772287862513,[0-1)
2021,Bình Thạnh,2968,1556,1407,5,4655,0.637593984962406,all
2022,Bình Thạnh,1,1,0,0,1963,5.094243504839531e-4,[0-1)
2022,Bình Thạnh,1,1,0,0,1963,5.094243504839531e-4,all
2014,Bình Tân,925,915,10,0,8306,0.11136527811220805,[0-1)
2014,Bình Tân,4589,3770,704,106,8306,0.5524921743318083,all
2015,Bình Tân,2784,2761,23,0,15175,0.18345963756177924,[0-1)
2015,Bình Tân,7629,5882,1507,223,15175,0.5027347611202636,all
2016,Bình Tân,2770,2757,13,0,14545,0.19044345135785493,[0-1)
2016,Bình Tân,7761,5816,1681,251,14545,0.533585424544517,all
2017,Bình Tân,4155,4120,35,0,14620,0.28419972640218877,[0-1)
2017,Bình Tân,8809,5990,2427,379,14620,0.602530779753762,all
2018,Bình Tân,2768,2756,12,0,12499,0.22145771661732938,[0-1)
2018,Bình Tân,6770,5115,1525,127,12499,0.5416433314665173,all
2019,Bình Tân,6484,6401,83,0,12025,0.5392099792099793,[0-1)
2019,Bình Tân,10583,4176,6121,281,12025,0.8800831600831601,all
2020,Bình Tân,6595,6412,182,1,10555,0.62482235907153,[0-1)
2020,Bình Tân,9050,2276,6620,153,10555,0.857413548081478,all
2021,Bình Tân,4869,4779,90,0,8538,0.5702740688685874,[0-1)
2021,Bình Tân,5398,3212,2175,11,8538,0.6322323729210588,all
2022,Bình Tân,2,2,0,0,3315,6.033182503770739e-4,[0-1)
2022,Bình Tân,2,2,0,0,3315,6.033182503770739e-4,all
2014,Cần Giờ,14,14,0,0,191,0.07329842931937172,[0-1)
2014,Cần Giờ,82,69,12,1,191,0.4293193717277487,all
2015,Cần Giờ,279,279,0,0,1084,0.257380073800738,[0-1)
2015,Cần Giờ,650,477,148,22,1084,0.5996309963099631,all
2016,Cần Giờ,345,343,2,0,1033,0.3339787028073572,[0-1)
2016,Cần Giờ,651,446,175,28,1033,0.6302032913843175,all
2017,Cần Giờ,333,333,0,0,1178,0.2826825127334465,[0-1)
2017,Cần Giờ,707,542,141,24,1178,0.6001697792869269,all
2018,Cần Giờ,290,289,1,0,1205,0.24066390041493776,[0-1)
2018,Cần Giờ,811,591,205,14,1205,0.6730290456431536,all
2019,Cần Giờ,684,679,5,0,1194,0.5728643216080402,[0-1)
2019,Cần Giờ,1144,367,733,43,1194,0.9581239530988275,all
2020,Cần Giờ,885,875,10,0,1142,0.7749562171628721,[0-1)
2020,Cần Giờ,1092,52,1008,31,1142,0.9562171628721541,all
2021,Cần Giờ,678,670,8,0,1097,0.618049225159526,[0-1)
2021,Cần Giờ,732,562,167,3,1097,0.6672743846855059,all
2014,Củ Chi,81,81,0,0,2758,0.029369108049311095,[0-1)
2014,Củ Chi,1332,1201,123,8,2758,0.48295866569978246,all
2015,Củ Chi,2105,2102,3,0,8460,0.24881796690307328,[0-1)
2015,Củ Chi,5092,3561,1329,186,8460,0.6018912529550827,all
2016,Củ Chi,2342,2338,4,0,7718,0.3034464887276497,[0-1)
2016,Củ Chi,4777,3245,1323,193,7718,0.6189427312775331,all
2017,Củ Chi,2350,2347,3,0,7981,0.2944493171281794,[0-1)
2017,Củ Chi,4784,3348,1244,185,7981,0.5994236311239193,all
2018,Củ Chi,1690,1687,3,0,7254,0.23297491039426524,[0-1)
2018,Củ Chi,4594,3394,1117,81,7254,0.6333057623380204,all
2019,Củ Chi,4165,4148,17,0,7067,0.5893589925003537,[0-1)
2019,Củ Chi,6584,2033,4292,250,7067,0.9316541672562615,all
2020,Củ Chi,3884,3846,38,0,6487,0.5987359334052721,[0-1)
